trace_ghistoryBits,pcIndexBits,trainingThresholdBits,weightsBits,size,mis_prediction_rate
fp_1.bz2,16,4,4,4,1360,1.394
fp_2.bz2,16,4,4,4,1360,4.044
int_1.bz2,16,4,4,4,1360,23.193
int_2.bz2,16,4,4,4,1360,0.795
mm_1.bz2,16,4,4,4,1360,13.768
mm_2.bz2,16,4,4,4,1360,15.230
fp_1.bz2,16,4,4,6,1904,0.965
fp_2.bz2,16,4,4,6,1904,1.388
int_1.bz2,16,4,4,6,1904,21.926
int_2.bz2,16,4,4,6,1904,0.649
mm_1.bz2,16,4,4,6,1904,11.177
mm_2.bz2,16,4,4,6,1904,14.628
fp_1.bz2,16,4,4,8,2448,0.965
fp_2.bz2,16,4,4,8,2448,1.038
int_1.bz2,16,4,4,8,2448,21.927
int_2.bz2,16,4,4,8,2448,0.650
mm_1.bz2,16,4,4,8,2448,10.965
mm_2.bz2,16,4,4,8,2448,14.627
fp_1.bz2,16,4,4,10,2992,0.965
fp_2.bz2,16,4,4,10,2992,1.038
int_1.bz2,16,4,4,10,2992,21.927
int_2.bz2,16,4,4,10,2992,0.650
mm_1.bz2,16,4,4,10,2992,10.965
mm_2.bz2,16,4,4,10,2992,14.627
fp_1.bz2,16,4,4,12,3536,0.965
fp_2.bz2,16,4,4,12,3536,1.038
int_1.bz2,16,4,4,12,3536,21.927
int_2.bz2,16,4,4,12,3536,0.650
mm_1.bz2,16,4,4,12,3536,10.965
mm_2.bz2,16,4,4,12,3536,14.627
fp_1.bz2,16,4,6,4,1360,2.388
fp_2.bz2,16,4,6,4,1360,16.139
int_1.bz2,16,4,6,4,1360,27.447
int_2.bz2,16,4,6,4,1360,1.197
mm_1.bz2,16,4,6,4,1360,20.386
mm_2.bz2,16,4,6,4,1360,19.846
fp_1.bz2,16,4,6,6,1904,1.132
fp_2.bz2,16,4,6,6,1904,3.929
int_1.bz2,16,4,6,6,1904,22.300
int_2.bz2,16,4,6,6,1904,0.815
mm_1.bz2,16,4,6,6,1904,12.350
mm_2.bz2,16,4,6,6,1904,16.532
fp_1.bz2,16,4,6,8,2448,0.991
fp_2.bz2,16,4,6,8,2448,1.452
int_1.bz2,16,4,6,8,2448,21.301
int_2.bz2,16,4,6,8,2448,0.741
mm_1.bz2,16,4,6,8,2448,10.705
mm_2.bz2,16,4,6,8,2448,16.525
fp_1.bz2,16,4,6,10,2992,0.991
fp_2.bz2,16,4,6,10,2992,1.207
int_1.bz2,16,4,6,10,2992,21.301
int_2.bz2,16,4,6,10,2992,0.741
mm_1.bz2,16,4,6,10,2992,10.713
mm_2.bz2,16,4,6,10,2992,16.525
fp_1.bz2,16,4,6,12,3536,0.991
fp_2.bz2,16,4,6,12,3536,1.207
int_1.bz2,16,4,6,12,3536,21.301
int_2.bz2,16,4,6,12,3536,0.741
mm_1.bz2,16,4,6,12,3536,10.713
mm_2.bz2,16,4,6,12,3536,16.525
fp_1.bz2,16,4,8,4,1360,2.501
fp_2.bz2,16,4,8,4,1360,31.843
int_1.bz2,16,4,8,4,1360,34.009
int_2.bz2,16,4,8,4,1360,1.708
mm_1.bz2,16,4,8,4,1360,32.476
mm_2.bz2,16,4,8,4,1360,25.778
fp_1.bz2,16,4,8,6,1904,2.401
fp_2.bz2,16,4,8,6,1904,13.362
int_1.bz2,16,4,8,6,1904,26.632
int_2.bz2,16,4,8,6,1904,1.233
mm_1.bz2,16,4,8,6,1904,20.208
mm_2.bz2,16,4,8,6,1904,21.953
fp_1.bz2,16,4,8,8,2448,1.446
fp_2.bz2,16,4,8,8,2448,3.814
int_1.bz2,16,4,8,8,2448,22.466
int_2.bz2,16,4,8,8,2448,0.923
mm_1.bz2,16,4,8,8,2448,12.421
mm_2.bz2,16,4,8,8,2448,19.797
fp_1.bz2,16,4,8,10,2992,1.213
fp_2.bz2,16,4,8,10,2992,1.724
int_1.bz2,16,4,8,10,2992,21.667
int_2.bz2,16,4,8,10,2992,0.907
mm_1.bz2,16,4,8,10,2992,11.027
mm_2.bz2,16,4,8,10,2992,19.852
fp_1.bz2,16,4,8,12,3536,1.213
fp_2.bz2,16,4,8,12,3536,1.674
int_1.bz2,16,4,8,12,3536,21.667
int_2.bz2,16,4,8,12,3536,0.907
mm_1.bz2,16,4,8,12,3536,11.027
mm_2.bz2,16,4,8,12,3536,19.852
fp_1.bz2,16,4,10,4,1360,2.546
fp_2.bz2,16,4,10,4,1360,31.852
int_1.bz2,16,4,10,4,1360,34.073
int_2.bz2,16,4,10,4,1360,1.766
mm_1.bz2,16,4,10,4,1360,32.483
mm_2.bz2,16,4,10,4,1360,31.305
fp_1.bz2,16,4,10,6,1904,2.519
fp_2.bz2,16,4,10,6,1904,31.840
int_1.bz2,16,4,10,6,1904,34.033
int_2.bz2,16,4,10,6,1904,1.731
mm_1.bz2,16,4,10,6,1904,32.410
mm_2.bz2,16,4,10,6,1904,28.089
fp_1.bz2,16,4,10,8,2448,2.423
fp_2.bz2,16,4,10,8,2448,13.290
int_1.bz2,16,4,10,8,2448,26.702
int_2.bz2,16,4,10,8,2448,1.287
mm_1.bz2,16,4,10,8,2448,20.092
mm_2.bz2,16,4,10,8,2448,24.959
fp_1.bz2,16,4,10,10,2992,1.974
fp_2.bz2,16,4,10,10,2992,4.005
int_1.bz2,16,4,10,10,2992,22.969
int_2.bz2,16,4,10,10,2992,1.140
mm_1.bz2,16,4,10,10,2992,12.846
mm_2.bz2,16,4,10,10,2992,22.733
fp_1.bz2,16,4,10,12,3536,1.876
fp_2.bz2,16,4,10,12,3536,2.708
int_1.bz2,16,4,10,12,3536,22.404
int_2.bz2,16,4,10,12,3536,1.128
mm_1.bz2,16,4,10,12,3536,12.165
mm_2.bz2,16,4,10,12,3536,22.705
fp_1.bz2,16,4,12,4,1360,2.546
fp_2.bz2,16,4,12,4,1360,31.852
int_1.bz2,16,4,12,4,1360,34.073
int_2.bz2,16,4,12,4,1360,1.788
mm_1.bz2,16,4,12,4,1360,32.483
mm_2.bz2,16,4,12,4,1360,34.422
fp_1.bz2,16,4,12,6,1904,2.546
fp_2.bz2,16,4,12,6,1904,31.846
int_1.bz2,16,4,12,6,1904,34.034
int_2.bz2,16,4,12,6,1904,1.775
mm_1.bz2,16,4,12,6,1904,32.414
mm_2.bz2,16,4,12,6,1904,33.796
fp_1.bz2,16,4,12,8,2448,2.533
fp_2.bz2,16,4,12,8,2448,31.828
int_1.bz2,16,4,12,8,2448,33.951
int_2.bz2,16,4,12,8,2448,1.729
mm_1.bz2,16,4,12,8,2448,32.142
mm_2.bz2,16,4,12,8,2448,30.282
fp_1.bz2,16,4,12,10,2992,2.486
fp_2.bz2,16,4,12,10,2992,13.404
int_1.bz2,16,4,12,10,2992,27.617
int_2.bz2,16,4,12,10,2992,1.395
mm_1.bz2,16,4,12,10,2992,20.524
mm_2.bz2,16,4,12,10,2992,28.038
fp_1.bz2,16,4,12,12,3536,2.463
fp_2.bz2,16,4,12,12,3536,5.228
int_1.bz2,16,4,12,12,3536,24.099
int_2.bz2,16,4,12,12,3536,1.346
mm_1.bz2,16,4,12,12,3536,14.619
mm_2.bz2,16,4,12,12,3536,26.083
fp_1.bz2,16,4,14,4,1360,2.546
fp_2.bz2,16,4,14,4,1360,31.852
int_1.bz2,16,4,14,4,1360,34.073
int_2.bz2,16,4,14,4,1360,1.788
mm_1.bz2,16,4,14,4,1360,32.483
mm_2.bz2,16,4,14,4,1360,34.601
fp_1.bz2,16,4,14,6,1904,2.546
fp_2.bz2,16,4,14,6,1904,31.846
int_1.bz2,16,4,14,6,1904,34.034
int_2.bz2,16,4,14,6,1904,1.775
mm_1.bz2,16,4,14,6,1904,32.414
mm_2.bz2,16,4,14,6,1904,34.449
fp_1.bz2,16,4,14,8,2448,2.546
fp_2.bz2,16,4,14,8,2448,31.828
int_1.bz2,16,4,14,8,2448,33.951
int_2.bz2,16,4,14,8,2448,1.729
mm_1.bz2,16,4,14,8,2448,32.142
mm_2.bz2,16,4,14,8,2448,34.273
fp_1.bz2,16,4,14,10,2992,2.546
fp_2.bz2,16,4,14,10,2992,31.758
int_1.bz2,16,4,14,10,2992,33.664
int_2.bz2,16,4,14,10,2992,1.725
mm_1.bz2,16,4,14,10,2992,31.200
mm_2.bz2,16,4,14,10,2992,32.626
fp_1.bz2,16,4,14,12,3536,2.546
fp_2.bz2,16,4,14,12,3536,14.088
int_1.bz2,16,4,14,12,3536,30.275
int_2.bz2,16,4,14,12,3536,1.583
mm_1.bz2,16,4,14,12,3536,21.289
mm_2.bz2,16,4,14,12,3536,31.383
fp_1.bz2,16,4,16,4,1360,2.546
fp_2.bz2,16,4,16,4,1360,31.852
int_1.bz2,16,4,16,4,1360,34.073
int_2.bz2,16,4,16,4,1360,1.788
mm_1.bz2,16,4,16,4,1360,32.483
mm_2.bz2,16,4,16,4,1360,34.601
fp_1.bz2,16,4,16,6,1904,2.546
fp_2.bz2,16,4,16,6,1904,31.846
int_1.bz2,16,4,16,6,1904,34.034
int_2.bz2,16,4,16,6,1904,1.775
mm_1.bz2,16,4,16,6,1904,32.414
mm_2.bz2,16,4,16,6,1904,34.449
fp_1.bz2,16,4,16,8,2448,2.546
fp_2.bz2,16,4,16,8,2448,31.828
int_1.bz2,16,4,16,8,2448,33.951
int_2.bz2,16,4,16,8,2448,1.729
mm_1.bz2,16,4,16,8,2448,32.142
mm_2.bz2,16,4,16,8,2448,34.273
fp_1.bz2,16,4,16,10,2992,2.546
fp_2.bz2,16,4,16,10,2992,31.758
int_1.bz2,16,4,16,10,2992,33.664
int_2.bz2,16,4,16,10,2992,1.725
mm_1.bz2,16,4,16,10,2992,31.200
mm_2.bz2,16,4,16,10,2992,34.226
fp_1.bz2,16,4,16,12,3536,2.546
fp_2.bz2,16,4,16,12,3536,31.479
int_1.bz2,16,4,16,12,3536,33.893
int_2.bz2,16,4,16,12,3536,1.764
mm_1.bz2,16,4,16,12,3536,28.474
mm_2.bz2,16,4,16,12,3536,34.011
fp_1.bz2,16,6,4,4,5440,1.017
fp_2.bz2,16,6,4,4,5440,2.284
int_1.bz2,16,6,4,4,5440,15.437
int_2.bz2,16,6,4,4,5440,0.456
mm_1.bz2,16,6,4,4,5440,6.867
mm_2.bz2,16,6,4,4,5440,10.783
fp_1.bz2,16,6,4,6,7616,0.843
fp_2.bz2,16,6,4,6,7616,1.018
int_1.bz2,16,6,4,6,7616,13.443
int_2.bz2,16,6,4,6,7616,0.390
mm_1.bz2,16,6,4,6,7616,4.448
