ghistoryBits,pcIndexBits,trainingThresholdBits,weightsBits,size,avg_mis_prediction_rate
16,4,4,4,1360,9.73733333333333333333
16,4,4,6,1904,8.45550000000000000000
16,4,4,8,2448,8.36200000000000000000
16,4,4,10,2992,8.36200000000000000000
16,4,4,12,3536,8.36200000000000000000
16,4,6,4,1360,14.56716666666666666666
16,4,6,6,1904,9.50966666666666666666
16,4,6,8,2448,8.61916666666666666666
16,4,6,10,2992,8.57966666666666666666
16,4,6,12,3536,8.57966666666666666666
16,4,8,4,1360,21.38583333333333333333
16,4,8,6,1904,14.29816666666666666666
16,4,8,8,2448,10.14450000000000000000
16,4,8,10,2992,9.39833333333333333333
16,4,8,12,3536,9.39000000000000000000
16,4,10,4,1360,22.33750000000000000000
16,4,10,6,1904,21.77033333333333333333
16,4,10,8,2448,14.79216666666666666666
16,4,10,10,2992,10.94450000000000000000
16,4,10,12,3536,10.49766666666666666666
16,4,12,4,1360,22.86066666666666666666
16,4,12,6,1904,22.73516666666666666666
16,4,12,8,2448,22.07750000000000000000
16,4,12,10,2992,15.57733333333333333333
16,4,12,12,3536,12.30633333333333333333
16,4,14,4,1360,22.89050000000000000000
16,4,14,6,1904,22.84400000000000000000
16,4,14,8,2448,22.74483333333333333333
16,4,14,10,2992,22.25316666666666666666
16,4,14,12,3536,16.86066666666666666666
16,4,16,4,1360,22.89050000000000000000
16,4,16,6,1904,22.84400000000000000000
16,4,16,8,2448,22.74483333333333333333
16,4,16,10,2992,22.51983333333333333333
16,4,16,12,3536,22.02783333333333333333
16,6,4,4,5440,6.14066666666666666666
16,6,4,6,7616,5.09533333333333333333
16,6,4,8,9792,5.02500000000000000000
16,6,4,10,11968,5.02500000000000000000
16,6,4,12,14144,5.02500000000000000000
16,6,6,4,5440,10.02800000000000000000
16,6,6,6,7616,6.09516666666666666666
16,6,6,8,9792,5.33633333333333333333
16,6,6,10,11968,5.32750000000000000000
16,6,6,12,14144,5.32750000000000000000
16,6,8,4,5440,16.24633333333333333333
16,6,8,6,7616,10.22216666666666666666
16,6,8,8,9792,6.60100000000000000000
16,6,8,10,11968,6.02750000000000000000
16,6,8,12,14144,6.02750000000000000000
16,6,10,4,5440,17.45816666666666666666
16,6,10,6,7616,16.66333333333333333333
16,6,10,8,9792,10.86733333333333333333
16,6,10,10,11968,7.58533333333333333333
16,6,10,12,14144,7.22516666666666666666
16,6,12,4,5440,17.87183333333333333333
16,6,12,6,7616,17.63016666666666666666
16,6,12,8,9792,17.04266666666666666666
16,6,12,10,11968,11.92883333333333333333
16,6,12,12,14144,9.61300000000000000000
16,6,14,4,5440,17.89716666666666666666
16,6,14,6,7616,17.71300000000000000000
16,6,14,8,9792,17.45116666666666666666
16,6,14,10,11968,17.11083333333333333333
16,6,14,12,14144,13.60533333333333333333
16,6,16,4,5440,17.89716666666666666666
16,6,16,6,7616,17.71300000000000000000
16,6,16,8,9792,17.45116666666666666666
16,6,16,10,11968,17.26216666666666666666
