trace_ghistoryBits,pcIndexBits,trainingThresholdBits,weightsBits,size,mis_prediction_rate,better_than_tournament
mm_1.bz2,31,6,4,6,14336,2.237,1
mm_2.bz2,31,6,4,6,14336,9.987,0
mm_1.bz2,31,6,4,7,16384,2.197,1
mm_2.bz2,31,6,4,7,16384,9.990,0
mm_1.bz2,31,6,4,8,18432,2.197,1
mm_2.bz2,31,6,4,8,18432,9.990,0
mm_1.bz2,31,6,4,9,20480,2.197,1
mm_2.bz2,31,6,4,9,20480,9.990,0
mm_1.bz2,31,6,4,10,22528,2.197,1
mm_2.bz2,31,6,4,10,22528,9.990,0
mm_1.bz2,31,6,4,11,24576,2.197,1
mm_2.bz2,31,6,4,11,24576,9.990,0
mm_1.bz2,31,6,4,12,26624,2.197,1
mm_2.bz2,31,6,4,12,26624,9.990,0
mm_1.bz2,31,6,5,6,14336,2.372,1
mm_2.bz2,31,6,5,6,14336,10.312,0
mm_1.bz2,31,6,5,7,16384,2.100,1
mm_2.bz2,31,6,5,7,16384,10.303,0
mm_1.bz2,31,6,5,8,18432,2.043,1
mm_2.bz2,31,6,5,8,18432,10.303,0
mm_1.bz2,31,6,5,9,20480,2.044,1
mm_2.bz2,31,6,5,9,20480,10.303,0
mm_1.bz2,31,6,5,10,22528,2.044,1
mm_2.bz2,31,6,5,10,22528,10.303,0
mm_1.bz2,31,6,5,11,24576,2.044,1
mm_2.bz2,31,6,5,11,24576,10.303,0
mm_1.bz2,31,6,5,12,26624,2.044,1
mm_2.bz2,31,6,5,12,26624,10.303,0
mm_1.bz2,31,6,6,6,14336,3.558,0
mm_1.bz2,31,6,6,7,16384,2.263,1
mm_2.bz2,31,6,6,7,16384,11.048,0
mm_1.bz2,31,6,6,8,18432,2.157,1
mm_2.bz2,31,6,6,8,18432,11.034,0
mm_1.bz2,31,6,6,9,20480,2.140,1
mm_2.bz2,31,6,6,9,20480,11.034,0
mm_1.bz2,31,6,6,10,22528,2.140,1
mm_2.bz2,31,6,6,10,22528,11.034,0
mm_1.bz2,31,6,6,11,24576,2.140,1
mm_2.bz2,31,6,6,11,24576,11.034,0
mm_1.bz2,31,6,6,12,26624,2.140,1
mm_2.bz2,31,6,6,12,26624,11.034,0
mm_1.bz2,31,7,4,6,28672,2.158,1
mm_2.bz2,31,7,4,6,28672,8.406,1
fp_1.bz2,31,7,4,6,28672,0.834,1
fp_2.bz2,31,7,4,6,28672,1.010,1
int_1.bz2,31,7,4,6,28672,9.837,1
int_2.bz2,31,7,4,6,28672,0.345,1
mm_1.bz2,31,7,4,7,32768,2.118,1
mm_2.bz2,31,7,4,7,32768,8.405,1
fp_1.bz2,31,7,4,7,32768,0.834,1
fp_2.bz2,31,7,4,7,32768,1.010,1
int_1.bz2,31,7,4,7,32768,9.624,1
int_2.bz2,31,7,4,7,32768,0.345,1
mm_1.bz2,31,7,4,8,36864,2.119,1
mm_2.bz2,31,7,4,8,36864,8.405,1
fp_1.bz2,31,7,4,8,36864,0.834,1
fp_2.bz2,31,7,4,8,36864,1.010,1
int_1.bz2,31,7,4,8,36864,9.584,1
int_2.bz2,31,7,4,8,36864,0.345,1
mm_1.bz2,31,7,4,9,40960,2.119,1
mm_2.bz2,31,7,4,9,40960,8.405,1
fp_1.bz2,31,7,4,9,40960,0.834,1
fp_2.bz2,31,7,4,9,40960,1.010,1
int_1.bz2,31,7,4,9,40960,9.584,1
int_2.bz2,31,7,4,9,40960,0.345,1
mm_1.bz2,31,7,4,10,45056,2.119,1
mm_2.bz2,31,7,4,10,45056,8.405,1
fp_1.bz2,31,7,4,10,45056,0.834,1
fp_2.bz2,31,7,4,10,45056,1.010,1
int_1.bz2,31,7,4,10,45056,9.584,1
int_2.bz2,31,7,4,10,45056,0.345,1
mm_1.bz2,31,7,4,11,49152,2.119,1
mm_2.bz2,31,7,4,11,49152,8.405,1
fp_1.bz2,31,7,4,11,49152,0.834,1
fp_2.bz2,31,7,4,11,49152,1.010,1
int_1.bz2,31,7,4,11,49152,9.584,1
int_2.bz2,31,7,4,11,49152,0.345,1
mm_1.bz2,31,7,4,12,53248,2.119,1
mm_2.bz2,31,7,4,12,53248,8.405,1
fp_1.bz2,31,7,4,12,53248,0.834,1
fp_2.bz2,31,7,4,12,53248,1.010,1
int_1.bz2,31,7,4,12,53248,9.584,1
int_2.bz2,31,7,4,12,53248,0.345,1
mm_1.bz2,31,7,5,6,28672,2.247,1
mm_2.bz2,31,7,5,6,28672,8.588,0
mm_1.bz2,31,7,5,7,32768,2.006,1
mm_2.bz2,31,7,5,7,32768,8.578,0
mm_1.bz2,31,7,5,8,36864,1.991,1
mm_2.bz2,31,7,5,8,36864,8.578,0
mm_1.bz2,31,7,5,9,40960,1.991,1
mm_2.bz2,31,7,5,9,40960,8.578,0
mm_1.bz2,31,7,5,10,45056,1.991,1
mm_2.bz2,31,7,5,10,45056,8.578,0
mm_1.bz2,31,7,5,11,49152,1.991,1
mm_2.bz2,31,7,5,11,49152,8.578,0
mm_1.bz2,31,7,5,12,53248,1.991,1
mm_2.bz2,31,7,5,12,53248,8.578,0
mm_1.bz2,31,7,6,6,28672,2.936,0
mm_1.bz2,31,7,6,7,32768,2.180,1
mm_2.bz2,31,7,6,7,32768,9.123,0
mm_1.bz2,31,7,6,8,36864,2.065,1
mm_2.bz2,31,7,6,8,36864,9.125,0
mm_1.bz2,31,7,6,9,40960,2.063,1
mm_2.bz2,31,7,6,9,40960,9.125,0
mm_1.bz2,31,7,6,10,45056,2.063,1
mm_2.bz2,31,7,6,10,45056,9.125,0
mm_1.bz2,31,7,6,11,49152,2.063,1
mm_2.bz2,31,7,6,11,49152,9.125,0
mm_1.bz2,31,7,6,12,53248,2.063,1
mm_2.bz2,31,7,6,12,53248,9.125,0
mm_1.bz2,31,8,4,6,57344,2.137,1
mm_2.bz2,31,8,4,6,57344,7.096,1
fp_1.bz2,31,8,4,6,57344,0.827,1
fp_2.bz2,31,8,4,6,57344,1.009,1
int_1.bz2,31,8,4,6,57344,8.445,1
int_2.bz2,31,8,4,6,57344,0.322,1
mm_1.bz2,31,8,5,6,57344,2.150,1
mm_2.bz2,31,8,5,6,57344,7.217,1
fp_1.bz2,31,8,5,6,57344,0.828,1
fp_2.bz2,31,8,5,6,57344,0.973,1
int_1.bz2,31,8,5,6,57344,8.254,1
int_2.bz2,31,8,5,6,57344,0.320,1
mm_1.bz2,31,8,6,6,57344,2.918,0
mm_1.bz2,32,6,4,6,14784,2.297,1
mm_2.bz2,32,6,4,6,14784,9.974,0
mm_1.bz2,32,6,4,7,16896,2.232,1
mm_2.bz2,32,6,4,7,16896,9.977,0
mm_1.bz2,32,6,4,8,19008,2.240,1
mm_2.bz2,32,6,4,8,19008,9.977,0
mm_1.bz2,32,6,4,9,21120,2.240,1
mm_2.bz2,32,6,4,9,21120,9.977,0
mm_1.bz2,32,6,4,10,23232,2.240,1
mm_2.bz2,32,6,4,10,23232,9.977,0
mm_1.bz2,32,6,4,11,25344,2.240,1
mm_2.bz2,32,6,4,11,25344,9.977,0
mm_1.bz2,32,6,4,12,27456,2.240,1
mm_2.bz2,32,6,4,12,27456,9.977,0
mm_1.bz2,32,6,5,6,14784,2.421,1
mm_2.bz2,32,6,5,6,14784,10.292,0
mm_1.bz2,32,6,5,7,16896,2.127,1
mm_2.bz2,32,6,5,7,16896,10.285,0
mm_1.bz2,32,6,5,8,19008,2.058,1
mm_2.bz2,32,6,5,8,19008,10.284,0
mm_1.bz2,32,6,5,9,21120,2.067,1
mm_2.bz2,32,6,5,9,21120,10.284,0
mm_1.bz2,32,6,5,10,23232,2.067,1
mm_2.bz2,32,6,5,10,23232,10.284,0
mm_1.bz2,32,6,5,11,25344,2.067,1
mm_2.bz2,32,6,5,11,25344,10.284,0
mm_1.bz2,32,6,5,12,27456,2.067,1
mm_2.bz2,32,6,5,12,27456,10.284,0
mm_1.bz2,32,6,6,6,14784,3.368,0
mm_1.bz2,32,6,6,7,16896,2.280,1
mm_2.bz2,32,6,6,7,16896,11.018,0
mm_1.bz2,32,6,6,8,19008,2.148,1
mm_2.bz2,32,6,6,8,19008,11.017,0
mm_1.bz2,32,6,6,9,21120,2.131,1
mm_2.bz2,32,6,6,9,21120,11.017,0
mm_1.bz2,32,6,6,10,23232,2.131,1
mm_2.bz2,32,6,6,10,23232,11.017,0
mm_1.bz2,32,6,6,11,25344,2.131,1
mm_2.bz2,32,6,6,11,25344,11.017,0
mm_1.bz2,32,6,6,12,27456,2.131,1
mm_2.bz2,32,6,6,12,27456,11.017,0
mm_1.bz2,32,7,4,6,29568,2.157,1
mm_2.bz2,32,7,4,6,29568,8.398,1
fp_1.bz2,32,7,4,6,29568,0.834,1
fp_2.bz2,32,7,4,6,29568,1.062,1
int_1.bz2,32,7,4,6,29568,9.849,1
int_2.bz2,32,7,4,6,29568,0.350,1
mm_1.bz2,32,7,4,7,33792,2.087,1
mm_2.bz2,32,7,4,7,33792,8.399,1
fp_1.bz2,32,7,4,7,33792,0.834,1
fp_2.bz2,32,7,4,7,33792,1.062,1
int_1.bz2,32,7,4,7,33792,9.639,1
int_2.bz2,32,7,4,7,33792,0.350,1
mm_1.bz2,32,7,4,8,38016,2.089,1
mm_2.bz2,32,7,4,8,38016,8.399,1
fp_1.bz2,32,7,4,8,38016,0.834,1
fp_2.bz2,32,7,4,8,38016,1.062,1
int_1.bz2,32,7,4,8,38016,9.597,1
int_2.bz2,32,7,4,8,38016,0.350,1
mm_1.bz2,32,7,4,9,42240,2.089,1
mm_2.bz2,32,7,4,9,42240,8.399,1
fp_1.bz2,32,7,4,9,42240,0.834,1
fp_2.bz2,32,7,4,9,42240,1.062,1
int_1.bz2,32,7,4,9,42240,9.597,1
int_2.bz2,32,7,4,9,42240,0.350,1
mm_1.bz2,32,7,4,10,46464,2.089,1
mm_2.bz2,32,7,4,10,46464,8.399,1
fp_1.bz2,32,7,4,10,46464,0.834,1
