ghistoryBits,pcIndexBits,trainingThresholdBits,weightsBits,size,avg_mis_prediction_rate,better_than_tournament
31,7,4,6,28672,3.76500000000000000000,1
31,7,4,7,32768,3.72266666666666666666,1
31,7,4,8,36864,3.71616666666666666666,1
31,7,4,9,40960,3.71616666666666666666,1
31,7,4,10,45056,3.71616666666666666666,1
31,7,4,11,49152,3.71616666666666666666,1
31,7,4,12,53248,3.71616666666666666666,1
31,8,4,6,57344,3.30600000000000000000,1
31,8,5,6,57344,3.29033333333333333333,1
32,7,4,6,29568,3.77500000000000000000,1
32,7,4,7,33792,3.72850000000000000000,1
32,7,4,8,38016,3.72183333333333333333,1
32,7,4,9,42240,3.72183333333333333333,1
32,7,4,10,46464,3.72183333333333333333,1
32,7,4,11,50688,3.72183333333333333333,1
32,7,4,12,54912,3.72183333333333333333,1
32,8,4,6,59136,3.31500000000000000000,1
32,8,5,6,59136,3.29250000000000000000,1
33,7,4,6,30464,3.78416666666666666666,1
33,7,4,7,34816,3.73600000000000000000,1
33,7,4,8,39168,3.72616666666666666666,1
33,7,4,9,43520,3.72616666666666666666,1
33,7,4,10,47872,3.72616666666666666666,1
33,7,4,11,52224,3.72616666666666666666,1
33,7,4,12,56576,3.72616666666666666666,1
33,8,4,6,60928,3.32450000000000000000,1
33,8,5,6,60928,3.29250000000000000000,1
34,7,4,6,31360,3.77700000000000000000,1
34,7,4,7,35840,3.73066666666666666666,1
34,7,4,8,40320,3.71966666666666666666,1
34,7,4,9,44800,3.71966666666666666666,1
34,7,4,10,49280,3.71966666666666666666,1
34,7,4,11,53760,3.71966666666666666666,1
34,7,4,12,58240,3.71966666666666666666,1
34,8,4,6,62720,3.31366666666666666666,1
34,8,5,6,62720,3.27766666666666666666,1
35,7,4,6,32256,3.74450000000000000000,1
35,7,4,7,36864,3.69416666666666666666,1
35,7,4,8,41472,3.68516666666666666666,1
35,7,4,9,46080,3.68533333333333333333,1
35,7,4,10,50688,3.68533333333333333333,1
35,7,4,11,55296,3.68533333333333333333,1
35,7,4,12,59904,3.68533333333333333333,1
35,8,4,6,64512,3.29033333333333333333,1
35,8,5,6,64512,3.25800000000000000000,1
36,7,4,6,33152,3.72716666666666666666,1
36,7,4,7,37888,3.68183333333333333333,1
36,7,4,8,42624,3.67400000000000000000,1
36,7,4,9,47360,3.67400000000000000000,1
36,7,4,10,52096,3.67400000000000000000,1
36,7,4,11,56832,3.67400000000000000000,1
36,7,4,12,61568,3.67400000000000000000,1
37,7,4,6,34048,3.75133333333333333333,1
37,7,4,7,38912,3.70583333333333333333,1
37,7,4,8,43776,3.69816666666666666666,1
37,7,4,9,48640,3.69816666666666666666,1
37,7,4,10,53504,3.69816666666666666666,1
37,7,4,11,58368,3.69816666666666666666,1
37,7,4,12,63232,3.69816666666666666666,1
37,7,5,6,34048,3.69716666666666666666,1
37,7,5,7,38912,3.58200000000000000000,1
37,7,5,8,43776,3.56133333333333333333,1
37,7,5,9,48640,3.55950000000000000000,1
37,7,5,10,53504,3.55950000000000000000,1
37,7,5,11,58368,3.55950000000000000000,1
37,7,5,12,63232,3.55950000000000000000,1
38,7,4,6,34944,3.73450000000000000000,1
38,7,4,7,39936,3.68933333333333333333,1
38,7,4,8,44928,3.68133333333333333333,1
38,7,4,9,49920,3.68133333333333333333,1
38,7,4,10,54912,3.68133333333333333333,1
38,7,4,11,59904,3.68133333333333333333,1
38,7,5,6,34944,3.70116666666666666666,1
38,7,5,7,39936,3.58333333333333333333,1
38,7,5,8,44928,3.56100000000000000000,1
38,7,5,9,49920,3.55916666666666666666,1
38,7,5,10,54912,3.55916666666666666666,1
38,7,5,11,59904,3.55916666666666666666,1
39,7,4,6,35840,3.72966666666666666666,1
39,7,4,7,40960,3.67750000000000000000,1
39,7,4,8,46080,3.66900000000000000000,1
39,7,4,9,51200,3.66883333333333333333,1
39,7,4,10,56320,3.66883333333333333333,1
39,7,4,11,61440,3.66883333333333333333,1
39,7,5,6,35840,3.69516666666666666666,1
39,7,5,7,40960,3.57700000000000000000,1
39,7,5,8,46080,3.55500000000000000000,1
39,7,5,9,51200,3.55316666666666666666,1
39,7,5,10,56320,3.55316666666666666666,1
39,7,5,11,61440,3.55316666666666666666,1
