trace_ghistoryBits,pcIndexBits,trainingThresholdBits,weightsBits,size,mis_prediction_rate,better_than_tournament
mm_1.bz2,24,7,3,6,22400,2.815,0
mm_1.bz2,24,7,3,7,25600,2.764,0
mm_1.bz2,24,7,3,8,28800,2.738,0
mm_1.bz2,24,7,4,6,22400,2.776,0
mm_1.bz2,24,7,4,7,25600,2.525,1
mm_2.bz2,24,7,4,7,25600,8.510,0
mm_1.bz2,24,7,4,8,28800,2.522,1
mm_2.bz2,24,7,4,8,28800,8.510,0
mm_1.bz2,24,7,5,6,22400,2.823,0
mm_1.bz2,24,7,5,7,25600,2.695,0
mm_1.bz2,24,7,5,8,28800,2.589,0
mm_1.bz2,24,7,6,6,22400,4.010,0
mm_1.bz2,24,7,6,7,25600,2.940,0
mm_1.bz2,24,7,6,8,28800,2.838,0
mm_1.bz2,24,7,7,6,22400,5.473,0
mm_1.bz2,24,7,7,7,25600,3.890,0
mm_1.bz2,24,7,7,8,28800,3.039,0
mm_1.bz2,24,8,3,6,44800,2.872,0
mm_1.bz2,24,8,3,7,51200,2.820,0
mm_1.bz2,24,8,3,8,57600,2.794,0
mm_1.bz2,24,8,4,6,44800,2.788,0
mm_1.bz2,24,8,4,7,51200,2.551,1
mm_2.bz2,24,8,4,7,51200,7.207,1
fp_1.bz2,24,8,4,7,51200,0.826,1
fp_2.bz2,24,8,4,7,51200,0.970,1
int_1.bz2,24,8,4,7,51200,8.562,1
int_2.bz2,24,8,4,7,51200,0.318,1
mm_1.bz2,24,8,4,8,57600,2.547,1
mm_2.bz2,24,8,4,8,57600,7.207,1
fp_1.bz2,24,8,4,8,57600,0.826,1
fp_2.bz2,24,8,4,8,57600,0.970,1
int_1.bz2,24,8,4,8,57600,8.556,1
int_2.bz2,24,8,4,8,57600,0.318,1
mm_1.bz2,24,8,5,6,44800,2.783,0
mm_1.bz2,24,8,5,7,51200,2.659,0
mm_1.bz2,24,8,5,8,57600,2.556,1
mm_2.bz2,24,8,5,8,57600,7.426,1
fp_1.bz2,24,8,5,8,57600,0.827,1
fp_2.bz2,24,8,5,8,57600,0.974,1
