ghistoryBits,pcIndexBits,trainingThresholdBits,weightsBits,size,avg_mis_prediction_rate,better_than_tournament
24,8,4,7,51200,3.7062,1
24,8,4,8,57600,3.7041,1
24,8,5,8,57600,3.6564,1
26,7,4,6,24192,4.1973,1
26,7,4,7,27648,4.1417,1
26,7,4,8,31104,4.1315,1
26,8,3,6,48384,3.9119,1
26,8,3,7,55296,3.8891,1
26,8,3,8,62208,3.8902,1
26,8,4,6,48384,3.6969,1
26,8,4,7,55296,3.6574,1
26,8,4,8,62208,3.6541,1
26,8,5,6,48384,3.7141,1
26,8,5,7,55296,3.6237,1
26,8,5,8,62208,3.6040,1
26,8,6,8,62208,3.6916,1
28,7,4,6,25984,4.1462,1
28,7,4,7,29696,4.0965,1
28,7,4,8,33408,4.0863,1
28,8,3,6,51968,3.8337,1
28,8,3,7,59392,3.8260,1
28,8,4,6,51968,3.6355,1
28,8,4,7,59392,3.5927,1
28,8,5,6,51968,3.6658,1
28,8,5,7,59392,3.5531,1
28,8,6,7,59392,3.6716,1
30,7,4,6,27776,4.1352,1
30,7,4,7,31744,4.0777,1
30,7,4,8,35712,4.0700,1
30,8,3,6,55552,3.8383,1
30,8,3,7,63488,3.8308,1
30,8,4,6,55552,3.6155,1
30,8,4,7,63488,3.5768,1
30,8,5,6,55552,3.6202,1
30,8,5,7,63488,3.4956,1
30,8,6,7,63488,3.6227,1
32,7,4,6,29568,4.1206,1
32,7,4,7,33792,4.0620,1
32,7,4,8,38016,4.0531,1
32,8,3,6,59136,3.8284,1
32,8,4,6,59136,3.6052,1
32,8,5,6,59136,3.5741,1
34,7,4,6,31360,4.1229,1
34,7,4,7,35840,4.0641,1
34,7,4,8,40320,4.0508,1
34,8,3,6,62720,3.7980,1
34,8,4,6,62720,3.6042,1
34,8,5,6,62720,3.5584,1
36,7,4,6,33152,4.0688,1
36,7,4,7,37888,4.0119,1
36,7,4,8,42624,4.0014,1
