trace_ghistoryBits,pcIndexBits,trainingThresholdBits,weightsBits,size,mis_prediction_rate,better_than_tournament
mm_1.bz2,28,8,4,6,51968,2.182,1
mm_2.bz2,28,8,4,6,51968,7.136,1
fp_1.bz2,28,8,4,6,51968,0.826,1
fp_2.bz2,28,8,4,6,51968,0.969,1
int_1.bz2,28,8,4,6,51968,8.586,1
int_2.bz2,28,8,4,6,51968,0.317,1
mm_1.bz2,28,8,4,7,59392,2.124,1
mm_2.bz2,28,8,4,7,59392,7.134,1
fp_1.bz2,28,8,4,7,59392,0.826,1
fp_2.bz2,28,8,4,7,59392,0.969,1
int_1.bz2,28,8,4,7,59392,8.440,1
int_2.bz2,28,8,4,7,59392,0.317,1
mm_1.bz2,28,8,5,6,51968,2.395,1
mm_2.bz2,28,8,5,6,51968,7.303,1
fp_1.bz2,28,8,5,6,51968,0.827,1
fp_2.bz2,28,8,5,6,51968,0.979,1
int_1.bz2,28,8,5,6,51968,8.433,1
int_2.bz2,28,8,5,6,51968,0.317,1
mm_1.bz2,28,8,5,7,59392,2.255,1
mm_2.bz2,28,8,5,7,59392,7.288,1
fp_1.bz2,28,8,5,7,59392,0.827,1
fp_2.bz2,28,8,5,7,59392,0.975,1
int_1.bz2,28,8,5,7,59392,8.048,1
int_2.bz2,28,8,5,7,59392,0.316,1
mm_1.bz2,28,8,6,6,51968,3.212,0
mm_1.bz2,28,8,6,7,59392,2.380,1
mm_2.bz2,28,8,6,7,59392,7.763,1
fp_1.bz2,28,8,6,7,59392,0.831,1
fp_2.bz2,28,8,6,7,59392,0.987,1
int_1.bz2,28,8,6,7,59392,8.134,1
int_2.bz2,28,8,6,7,59392,0.334,1
mm_1.bz2,29,8,4,6,53760,2.195,1
mm_2.bz2,29,8,4,6,53760,7.130,1
fp_1.bz2,29,8,4,6,53760,0.827,1
fp_2.bz2,29,8,4,6,53760,0.968,1
int_1.bz2,29,8,4,6,53760,8.488,1
int_2.bz2,29,8,4,6,53760,0.319,1
mm_1.bz2,29,8,4,7,61440,2.202,1
mm_2.bz2,29,8,4,7,61440,7.124,1
fp_1.bz2,29,8,4,7,61440,0.827,1
fp_2.bz2,29,8,4,7,61440,0.968,1
int_1.bz2,29,8,4,7,61440,8.357,1
int_2.bz2,29,8,4,7,61440,0.319,1
mm_1.bz2,29,8,5,6,53760,2.382,1
mm_2.bz2,29,8,5,6,53760,7.283,1
