ghistoryBits,pcIndexBits,trainingThresholdBits,weightsBits,size,avg_mis_prediction_rate,better_than_tournament
28,8,4,6,51968,3.6355,1
28,8,4,7,59392,3.5927,1
28,8,5,6,51968,3.6658,1
28,8,5,7,59392,3.5531,1
28,8,6,7,59392,3.6716,1
29,8,4,6,53760,3.6155,1
29,8,4,7,61440,3.5868,1
29,8,5,6,53760,3.6411,1
29,8,5,7,61440,3.5259,1
29,8,6,7,61440,3.6359,1
30,8,4,6,55552,3.6155,1
30,8,4,7,63488,3.5768,1
30,8,5,6,55552,3.6202,1
30,8,5,7,63488,3.4956,1
30,8,6,7,63488,3.6227,1
31,8,4,6,57344,3.5970,1
31,8,5,6,57344,3.5699,1
32,8,4,6,59136,3.6052,1
32,8,5,6,59136,3.5741,1
33,8,4,6,60928,3.6147,1
33,8,5,6,60928,3.5735,1
34,8,4,6,62720,3.6042,1
34,8,5,6,62720,3.5584,1
35,8,4,6,64512,3.5799,1
35,8,5,6,64512,3.5376,1
