trace_ghistoryBits,pcIndexBits,trainingThresholdBits,weightsBits,size,mis_prediction_rate,better_than_tournament
mm_1.bz2,24,6,5,5,9600,4.859,0
mm_2.bz2,24,6,5,5,9600,10.702,0
fp_1.bz2,24,6,5,5,9600,0.980,1
fp_2.bz2,24,6,5,5,9600,1.478,1
int_1.bz2,24,6,5,5,9600,12.922,0
int_2.bz2,24,6,5,5,9600,0.379,1
mm_1.bz2,24,6,5,6,11200,3.247,0
mm_2.bz2,24,6,5,6,11200,10.548,0
fp_1.bz2,24,6,5,6,11200,0.844,1
fp_2.bz2,24,6,5,6,11200,1.003,1
int_1.bz2,24,6,5,6,11200,11.625,1
int_2.bz2,24,6,5,6,11200,0.352,1
mm_1.bz2,24,6,5,7,12800,2.808,0
mm_2.bz2,24,6,5,7,12800,10.544,0
fp_1.bz2,24,6,5,7,12800,0.844,1
fp_2.bz2,24,6,5,7,12800,0.980,1
int_1.bz2,24,6,5,7,12800,11.294,1
int_2.bz2,24,6,5,7,12800,0.349,1
mm_1.bz2,24,6,5,8,14400,2.699,0
mm_2.bz2,24,6,5,8,14400,10.544,0
fp_1.bz2,24,6,5,8,14400,0.844,1
fp_2.bz2,24,6,5,8,14400,0.980,1
int_1.bz2,24,6,5,8,14400,11.269,1
int_2.bz2,24,6,5,8,14400,0.349,1
mm_1.bz2,24,6,5,9,16000,2.680,0
mm_2.bz2,24,6,5,9,16000,10.544,0
fp_1.bz2,24,6,5,9,16000,0.844,1
fp_2.bz2,24,6,5,9,16000,0.980,1
int_1.bz2,24,6,5,9,16000,11.269,1
int_2.bz2,24,6,5,9,16000,0.349,1
mm_1.bz2,24,6,6,5,9600,6.911,0
mm_2.bz2,24,6,6,5,9600,12.171,0
fp_1.bz2,24,6,6,5,9600,1.057,0
fp_2.bz2,24,6,6,5,9600,2.734,1
int_1.bz2,24,6,6,5,9600,14.596,0
int_2.bz2,24,6,6,5,9600,0.499,0
mm_1.bz2,24,6,6,6,11200,4.701,0
mm_2.bz2,24,6,6,6,11200,11.585,0
fp_1.bz2,24,6,6,6,11200,0.968,1
fp_2.bz2,24,6,6,6,11200,1.521,1
int_1.bz2,24,6,6,6,11200,12.394,1
int_2.bz2,24,6,6,6,11200,0.404,1
mm_1.bz2,24,6,6,7,12800,3.324,0
mm_2.bz2,24,6,6,7,12800,11.457,0
fp_1.bz2,24,6,6,7,12800,0.854,1
fp_2.bz2,24,6,6,7,12800,1.012,1
int_1.bz2,24,6,6,7,12800,11.324,1
int_2.bz2,24,6,6,7,12800,0.388,1
mm_1.bz2,24,6,6,8,14400,3.000,0
mm_2.bz2,24,6,6,8,14400,11.454,0
fp_1.bz2,24,6,6,8,14400,0.854,1
fp_2.bz2,24,6,6,8,14400,0.998,1
int_1.bz2,24,6,6,8,14400,11.133,1
int_2.bz2,24,6,6,8,14400,0.386,1
mm_1.bz2,24,6,6,9,16000,2.984,0
mm_2.bz2,24,6,6,9,16000,11.454,0
fp_1.bz2,24,6,6,9,16000,0.854,1
fp_2.bz2,24,6,6,9,16000,0.998,1
int_1.bz2,24,6,6,9,16000,11.120,1
int_2.bz2,24,6,6,9,16000,0.386,1
mm_1.bz2,24,6,7,5,9600,9.688,0
mm_2.bz2,24,6,7,5,9600,14.907,0
fp_1.bz2,24,6,7,5,9600,1.480,0
fp_2.bz2,24,6,7,5,9600,4.735,0
int_1.bz2,24,6,7,5,9600,17.577,0
int_2.bz2,24,6,7,5,9600,0.662,0
mm_1.bz2,24,6,7,6,11200,6.832,0
mm_2.bz2,24,6,7,6,11200,13.320,0
fp_1.bz2,24,6,7,6,11200,1.045,0
fp_2.bz2,24,6,7,6,11200,2.500,1
int_1.bz2,24,6,7,6,11200,14.318,0
int_2.bz2,24,6,7,6,11200,0.523,0
mm_1.bz2,24,6,7,7,12800,4.615,0
mm_2.bz2,24,6,7,7,12800,12.689,0
fp_1.bz2,24,6,7,7,12800,0.949,1
fp_2.bz2,24,6,7,7,12800,1.390,1
int_1.bz2,24,6,7,7,12800,12.336,1
int_2.bz2,24,6,7,7,12800,0.462,0
mm_1.bz2,24,6,7,8,14400,3.429,0
mm_2.bz2,24,6,7,8,14400,12.576,0
fp_1.bz2,24,6,7,8,14400,0.877,1
fp_2.bz2,24,6,7,8,14400,1.052,1
int_1.bz2,24,6,7,8,14400,11.409,1
int_2.bz2,24,6,7,8,14400,0.453,0
mm_1.bz2,24,6,7,9,16000,3.245,0
mm_2.bz2,24,6,7,9,16000,12.571,0
fp_1.bz2,24,6,7,9,16000,0.877,1
fp_2.bz2,24,6,7,9,16000,1.037,1
int_1.bz2,24,6,7,9,16000,11.304,1
int_2.bz2,24,6,7,9,16000,0.453,0
mm_1.bz2,24,6,8,5,9600,16.954,0
mm_2.bz2,24,6,8,5,9600,19.046,0
fp_1.bz2,24,6,8,5,9600,1.778,0
fp_2.bz2,24,6,8,5,9600,12.323,0
int_1.bz2,24,6,8,5,9600,22.319,0
int_2.bz2,24,6,8,5,9600,0.850,0
mm_1.bz2,24,6,8,6,11200,9.599,0
mm_2.bz2,24,6,8,6,11200,16.297,0
fp_1.bz2,24,6,8,6,11200,1.457,0
fp_2.bz2,24,6,8,6,11200,4.903,0
int_1.bz2,24,6,8,6,11200,17.571,0
int_2.bz2,24,6,8,6,11200,0.681,0
mm_1.bz2,24,6,8,7,12800,6.939,0
mm_2.bz2,24,6,8,7,12800,14.596,0
fp_1.bz2,24,6,8,7,12800,1.016,0
fp_2.bz2,24,6,8,7,12800,2.487,1
int_1.bz2,24,6,8,7,12800,14.376,0
int_2.bz2,24,6,8,7,12800,0.582,0
mm_1.bz2,24,6,8,8,14400,4.812,0
mm_2.bz2,24,6,8,8,14400,13.947,0
fp_1.bz2,24,6,8,8,14400,0.966,1
fp_2.bz2,24,6,8,8,14400,1.451,1
int_1.bz2,24,6,8,8,14400,12.506,1
int_2.bz2,24,6,8,8,14400,0.558,0
mm_1.bz2,24,6,8,9,16000,3.671,0
mm_2.bz2,24,6,8,9,16000,13.844,0
fp_1.bz2,24,6,8,9,16000,0.916,1
fp_2.bz2,24,6,8,9,16000,1.116,1
int_1.bz2,24,6,8,9,16000,11.754,1
int_2.bz2,24,6,8,9,16000,0.555,0
mm_1.bz2,24,7,5,5,19200,3.886,0
mm_2.bz2,24,7,5,5,19200,9.041,0
fp_1.bz2,24,7,5,5,19200,0.973,1
fp_2.bz2,24,7,5,5,19200,1.477,1
int_1.bz2,24,7,5,5,19200,11.279,1
int_2.bz2,24,7,5,5,19200,0.347,1
mm_1.bz2,24,7,5,6,22400,2.823,0
mm_2.bz2,24,7,5,6,22400,8.834,0
fp_1.bz2,24,7,5,6,22400,0.838,1
fp_2.bz2,24,7,5,6,22400,1.002,1
int_1.bz2,24,7,5,6,22400,9.950,1
int_2.bz2,24,7,5,6,22400,0.328,1
mm_1.bz2,24,7,5,7,25600,2.695,0
mm_2.bz2,24,7,5,7,25600,8.829,0
fp_1.bz2,24,7,5,7,25600,0.838,1
fp_2.bz2,24,7,5,7,25600,0.978,1
int_1.bz2,24,7,5,7,25600,9.572,1
int_2.bz2,24,7,5,7,25600,0.328,1
mm_1.bz2,24,7,5,8,28800,2.589,0
mm_2.bz2,24,7,5,8,28800,8.829,0
fp_1.bz2,24,7,5,8,28800,0.838,1
fp_2.bz2,24,7,5,8,28800,0.978,1
int_1.bz2,24,7,5,8,28800,9.440,1
int_2.bz2,24,7,5,8,28800,0.328,1
mm_1.bz2,24,7,5,9,32000,2.585,0
mm_2.bz2,24,7,5,9,32000,8.829,0
fp_1.bz2,24,7,5,9,32000,0.838,1
fp_2.bz2,24,7,5,9,32000,0.978,1
int_1.bz2,24,7,5,9,32000,9.430,1
int_2.bz2,24,7,5,9,32000,0.328,1
mm_1.bz2,24,7,6,5,19200,5.240,0
mm_2.bz2,24,7,6,5,19200,10.322,0
fp_1.bz2,24,7,6,5,19200,1.092,0
fp_2.bz2,24,7,6,5,19200,2.731,1
int_1.bz2,24,7,6,5,19200,12.748,0
int_2.bz2,24,7,6,5,19200,0.423,1
mm_1.bz2,24,7,6,6,22400,4.010,0
mm_2.bz2,24,7,6,6,22400,9.649,0
fp_1.bz2,24,7,6,6,22400,0.960,1
fp_2.bz2,24,7,6,6,22400,1.517,1
int_1.bz2,24,7,6,6,22400,10.818,1
int_2.bz2,24,7,6,6,22400,0.367,1
mm_1.bz2,24,7,6,7,25600,2.940,0
mm_2.bz2,24,7,6,7,25600,9.483,0
fp_1.bz2,24,7,6,7,25600,0.848,1
fp_2.bz2,24,7,6,7,25600,1.010,1
int_1.bz2,24,7,6,7,25600,9.733,1
int_2.bz2,24,7,6,7,25600,0.356,1
mm_1.bz2,24,7,6,8,28800,2.838,0
mm_2.bz2,24,7,6,8,28800,9.482,0
fp_1.bz2,24,7,6,8,28800,0.848,1
fp_2.bz2,24,7,6,8,28800,0.996,1
int_1.bz2,24,7,6,8,28800,9.461,1
int_2.bz2,24,7,6,8,28800,0.356,1
mm_1.bz2,24,7,6,9,32000,2.782,0
mm_2.bz2,24,7,6,9,32000,9.482,0
fp_1.bz2,24,7,6,9,32000,0.848,1
fp_2.bz2,24,7,6,9,32000,0.996,1
int_1.bz2,24,7,6,9,32000,9.377,1
int_2.bz2,24,7,6,9,32000,0.356,1
mm_1.bz2,24,7,7,5,19200,6.876,0
mm_2.bz2,24,7,7,5,19200,12.881,0
fp_1.bz2,24,7,7,5,19200,1.339,0
fp_2.bz2,24,7,7,5,19200,4.731,0
int_1.bz2,24,7,7,5,19200,15.516,0
int_2.bz2,24,7,7,5,19200,0.551,0
mm_1.bz2,24,7,7,6,22400,5.473,0
mm_2.bz2,24,7,7,6,22400,11.204,0
fp_1.bz2,24,7,7,6,22400,1.096,0
