ghistoryBits,pcIndexBits,trainingThresholdBits,weightsBits,size,avg_mis_prediction_rate,better_than_tournament
24,7,5,8,28800,4.1906,1
24,7,5,9,32000,4.1772,1
24,8,5,8,57600,3.6706,1
24,8,5,9,64000,3.6630,1
24,8,6,9,64000,3.6167,1
25,7,5,8,29952,4.1727,1
25,7,5,9,33280,4.1629,1
25,8,5,8,59904,3.6557,1
26,7,5,7,27648,4.2032,1
26,7,5,8,31104,4.1258,1
26,7,5,9,34560,4.1248,1
26,8,5,7,55296,3.6642,1
26,8,5,8,62208,3.6257,1
26,8,6,7,55296,3.6653,1
26,8,6,8,62208,3.5658,1
26,8,7,8,62208,3.6841,1
27,7,5,7,28672,4.1686,1
27,7,5,8,32256,4.1111,1
27,7,5,9,35840,4.1084,1
27,8,5,7,57344,3.6350,1
27,8,5,8,64512,3.5985,1
27,8,6,7,57344,3.6273,1
27,8,6,8,64512,3.5342,1
27,8,7,8,64512,3.6382,1
28,7,5,7,29696,4.1458,1
28,7,5,8,33408,4.0914,1
28,7,5,9,37120,4.0847,1
28,8,5,7,59392,3.5959,1
28,8,6,7,59392,3.5951,1
29,7,5,7,30720,4.1304,1
29,7,5,8,34560,4.0829,1
29,7,5,9,38400,4.0774,1
29,8,5,7,61440,3.5799,1
29,8,6,7,61440,3.5758,1
30,7,5,7,31744,4.1218,1
30,7,5,8,35712,4.0711,1
30,7,5,9,39680,4.0675,1
30,8,5,7,63488,3.5679,1
30,8,6,7,63488,3.5589,1
31,7,5,7,32768,4.0918,1
31,7,5,8,36864,4.0436,1
31,7,5,9,40960,4.0381,1
32,7,5,7,33792,4.0982,1
32,7,5,8,38016,4.0396,1
32,7,5,9,42240,4.0336,1
33,7,5,7,34816,4.1061,1
33,7,5,8,39168,4.0392,1
33,7,5,9,43520,4.0366,1
34,7,5,6,31360,4.3634,1
34,7,5,7,35840,4.1289,1
34,7,5,8,40320,4.0595,1
34,7,5,9,44800,4.0594,1
35,7,5,6,32256,4.3540,1
35,7,5,7,36864,4.0706,1
35,7,5,8,41472,4.0100,1
35,7,5,9,46080,4.0038,1
35,8,5,6,64512,3.7865,1
36,7,5,6,33152,4.3237,1
36,7,5,7,37888,4.0968,1
36,7,5,8,42624,4.0310,1
36,7,5,9,47360,4.0239,1
